name,relevance,note
"Adaptek Systems, LLC",irrelevant,custom robotic automation/assembly systems
Swarmbotics AI,irrelevant,autonomous ground robot swarms for defense
Perrone Robotics,irrelevant,autonomous vehicle software/retrofit kits
Rizse,irrelevant,autonomous drones for aircraft inspection
Arc Specialties,irrelevant,custom robotic welding systems integrator
Rover Robotics,irrelevant,UGV mobile robot platforms for R&D
Roboteam,irrelevant,tactical unmanned ground vehicles for defense
Ghost Robotics,irrelevant,quadruped UGVs for defense (Vision 60)
PSA Systems,irrelevant,industrial robotics systems integrator
Tortuga AgTech,irrelevant,strawberry/grape harvesting robots (acq 2025)
Build With Robots,irrelevant,autonomous disinfecting mobile robots
ViaBot,irrelevant,autonomous outdoor sweeping/security robots
Bluefin Robotics,irrelevant,autonomous underwater vehicles (Gen Dynamics)
Vantage Robotics,irrelevant,Vesper ISR drones for defense/public safety
Relay Robotics,irrelevant,autonomous hotel/hospital delivery robots
Mobot,irrelevant,physical robots for mobile-app QA testing
Bumblebee Spaces,irrelevant,ceiling-mounted robotic home furniture
RoboTire,irrelevant,robotic automotive tire-changing system
Cyanbot,irrelevant,autonomous sidewalk delivery robots (Coco)
Pliant Energy Systems,irrelevant,amphibious marine robots with undulating fins
Barrett Technology,irrelevant,WAM robotic arms and BarrettHand manipulators
The Numina Group,irrelevant,warehouse automation with AMRs and WES software
CRABI Robotics,irrelevant,autonomous marine hull-cleaning robots
Peer Robotics,irrelevant,collaborative mobile robots (AMRs) for manufacturing
Techmetics Robotics,irrelevant,service AMRs for hospitality and healthcare
Rugged Robotics,irrelevant,autonomous floor-layout printing robot for construction
TAILOS,irrelevant,autonomous commercial vacuuming robot (Rosie)
SuperDroid Robots,irrelevant,custom tactical/inspection robots
Drone Aviation,irrelevant,tethered aerostats and drones
"Robin Autopilot, USA",irrelevant,robotic lawn mowing fleet RaaS
Silent Falcon,irrelevant,small UAS for inspection and ISR
Ware,irrelevant,autonomous drones for warehouse inventory
Ava Robotics,irrelevant,autonomous telepresence robots
Segway Robotics,irrelevant,delivery and service robot platforms
ReconRobotics,irrelevant,throwable tactical micro-robots
Volley Automation,irrelevant,robotic automated parking systems
Infinite Roboitcs,irrelevant,industrial robot integration and automation
Trifo,irrelevant,AI home robot vacuums
Purple Rhombus,irrelevant,manufactures attritable UAS drones
Grafton Sciences,irrelevant,physical AI research and engineering
Hydronalix,irrelevant,unmanned surface vessels for rescue/defense
ARIX Technologies,irrelevant,pipe-inspection crawler robots
PreNav,irrelevant,precision drones for infrastructure inspection
K2 Kinetics,irrelevant,robotic packaging automation (acquired by JLS)
Treeswift,irrelevant,autonomous drone swarms for forestry
"Verve, Inc.",irrelevant,wearable exosuit robotics for industrial workers
Promobot Corp.,irrelevant,humanoid service robots for retail/hospitality
Dusty Robotics,irrelevant,autonomous BIM layout robot for construction
Square Robot,irrelevant,autonomous submersible tank-inspection robots
OhmniLabs,irrelevant,telepresence/healthcare robots (now Symbotic)
