name,relevance,note,contact_name,position,email
"Harmonic Bionics, Inc.",relevant,upper-extremity rehabilitation robotic exoskeleton,Christopher Prentice,CEO,info@harmonicbionics.com
"CreateMe Technologies, Inc.",relevant,AI robotics for automated apparel manufacturing,Cam Myers,CEO,hello@createme.com
"Machina Labs, Inc",relevant,AI-driven robotic sheet-metal forming,Edward Mehr,Co-founder & CEO,
RoboTire,relevant,robotic automotive tire-changing system,Victor Darolfi,Founder & CEO,
Cyanbot,relevant,autonomous sidewalk delivery robots (Coco),Zach Rash,Co-founder & CEO,
Slip Robotics,relevant,automated truck loading/unloading robots,Christopher Smith,Co-founder & CEO,
Saturday Robotics,relevant,autonomous laundry robots,Benjamin Bixby,President & CEO,
Stratom Inc,relevant,autonomous ground vehicles and robotic refueling,Mark Gordon,President & CEO,
BIONIK Inc.,relevant,InMotion neuro-rehabilitation robots,Richard Russo Jr.,CEO & CFO,rrusso@bioniklabs.com
Pliant Energy Systems,relevant,amphibious marine robots with undulating fins,Benjamin Pietro Filardo,Founder & CEO,
Stellar Pizza,relevant,robotic pizza-making food trucks,Benson Tsai,CEO,
Barrett Technology,relevant,WAM robotic arms and BarrettHand manipulators,Bill Townsend,Founder & CEO,
The Numina Group,relevant,warehouse automation with AMRs and WES software,Dan Hanrahan,Founder & CEO,dhanrahan@numinagroup.com
Formlogic,relevant,autonomous CNC precision manufacturing,Paul Sutter,Founder & CEO,
CRABI Robotics,relevant,autonomous marine hull-cleaning robots,Levi Gershon,CEO,inquiries@crabi-robotics.com
Peer Robotics,relevant,collaborative mobile robots (AMRs) for manufacturing,Rishabh Agarwal,Co-founder & CEO,
Techmetics Robotics,relevant,service AMRs for hospitality and healthcare,Mathan Muthupillai,CEO,sales@techmetics-group.com
Rugged Robotics,relevant,autonomous floor-layout printing robot for construction,Derrick Morse,Co-founder & CEO,
Dexai Robotics,relevant,Alfred robotic sous-chef for food service,David Johnson,Founder & CEO,info@dexai.com
TAILOS,relevant,autonomous commercial vacuuming robot (Rosie),Micah Green,Founder & CEO,
Skyline Robotics,relevant,Ozmo autonomous window-cleaning robot,Michael Brown,Chairman & CEO,contact@skylinerobotics.com
SuperDroid Robots,relevant,custom tactical/inspection robots,Charlie Payne,Founder & CEO,
Drone Aviation,relevant,tethered aerostats and drones,David Knight,CEO (parent COMSovereign),info@droneaviationcorp.com
"Robin Autopilot, USA",relevant,robotic lawn mowing fleet RaaS,Logan Fahey,Founder & CEO,
CleanRobotics,relevant,AI sorting recycling robot bins,Charles Yhap,Co-founder & CEO,
Silent Falcon,relevant,small UAS for inspection and ISR,Grant Bishop,President & CEO,info@silentfalconuas.com
Triton Medical Robotics,relevant,GI endoscopy surgical robot,Alex Tilson,CEO (parent Neptune Medical),
Ware,relevant,autonomous drones for warehouse inventory,Ian Smith,Co-founder & CEO,
Ava Robotics,relevant,autonomous telepresence robots,Youssef Saleh,Co-founder & CEO,
Segway Robotics,relevant,delivery and service robot platforms,,,marketing@robotics.segway.com
Artly,relevant,AI robotic barista coffee company,Meng Wang,Co-founder & CEO,info@artly.coffee
"Greenfield Robotics - Healthy Food, Healthy Planet",relevant,autonomous weeding farm robots,Clint Brauer,Founder,
ReconRobotics,relevant,throwable tactical micro-robots,,,
Advanced Construction Robotics,relevant,rebar tying and placing construction robots,Danielle Proctor,CEO,
Volley Automation,relevant,robotic automated parking systems,Sam Richardson,CEO,
Infinite Roboitcs,relevant,industrial robot integration and automation,Dave Neville,Co-founder & President,
Eka Robotics,relevant,sim-to-real manipulation robotics AI,Pulkit Agrawal,Co-founder & CEO,hello@ekarobotics.com
Harvest Croo,relevant,autonomous strawberry harvesting robot,Joseph McGee,CEO,info@harvestcroo.com
Verdant Robotics,relevant,precision ag spraying/weeding robots,Gabe Sibley,Founder & CEO,
Trifo,relevant,AI home robot vacuums,Zhe Zhang,Founder & CEO,
Purple Rhombus,relevant,manufactures attritable UAS drones,Mike Benitez,CEO,
Grafton Sciences,relevant,physical AI research and engineering,Anubhav Dubey,CEO,
Hydronalix,relevant,unmanned surface vessels for rescue/defense,Anthony Mulligan,Founder & CEO,
ARIX Technologies,relevant,pipe-inspection crawler robots,Dianna Liu,Founder & President,dianna@arix-tech.com
Wings,relevant,autonomous food-service retail robotics,Haitham Al-Beik,Founder (letsbutterfly Inc.),
Virtual Incision,relevant,miniaturized surgical robot MIRA,Jim Alecxih,CEO,
PreNav,relevant,precision drones for infrastructure inspection,Nathan Schuett,CEO,
Kane Robotics,relevant,cobot sanding/grinding/finishing systems,John Spruce,CEO,
XYZ Robotics Inc.,relevant,warehouse picking/manipulation robots,Jiaji Zhou,Co-founder & CEO,
Blendid,relevant,autonomous robotic smoothie kiosks,Vipin Jain,Co-founder & CEO,
K2 Kinetics,relevant,robotic packaging automation (acquired by JLS),,,Hello@K2Kinetics.com
Treeswift,relevant,autonomous drone swarms for forestry,Steven Chen,CEO,
"Verve, Inc.",relevant,wearable exosuit robotics for industrial workers,Ignacio Galiana,Co-founder & CTO,
Promobot Corp.,relevant,humanoid service robots for retail/hospitality,,,sales@promo-bot.ai
Dusty Robotics,relevant,autonomous BIM layout robot for construction,Tessa Lau,Co-founder & CEO,
LabMinds Inc,relevant,lab automation robotics for solution prep,Jeff Caputo,CEO,jeff.caputo@labminds.com
Square Robot,relevant,autonomous submersible tank-inspection robots,David Lamont,CEO,
Wilder Systems Inc.,relevant,robotic automation for aircraft manufacturing,Will Wilder,Founder & CEO,
OhmniLabs,relevant,telepresence/healthcare robots (now Symbotic),Thuc Vu,Co-founder & CEO,contact@ohmnilabs.com
Galen Robotics,relevant,ENT surgical assistant robot,Bruce Lichorowic,CEO,
