name,relevance,note
"InOrbit, Inc.",irrelevant,cloud robot fleet management platform
Amalto Technologies,irrelevant,B2B e-invoicing software (acquired)
The Efiia Group,irrelevant,cybersecurity consulting for federal agencies
Techmetics Robotics,relevant,service AMRs for hospitality and healthcare
Hebi Robotics,irrelevant,modular smart actuators for custom robots
Rugged Robotics,relevant,autonomous floor-layout printing robot for construction
Dexai Robotics,relevant,Alfred robotic sous-chef for food service
TAILOS,relevant,autonomous commercial vacuuming robot (Rosie)
Service Robotics & Technologies,irrelevant,IoT facility management software
Skyline Robotics,relevant,Ozmo autonomous window-cleaning robot
Trener Robotics,irrelevant,Physical AI software for industrial robots
Nemedio,irrelevant,medical device regulatory/QMS compliance platform
AviSight,irrelevant,industrial drone inspection services and software
Amaryllo Inc.,irrelevant,cloud storage and HP-licensed services
SuperDroid Robots,relevant,custom tactical/inspection robots
Pubinno,irrelevant,AI/robotics smart draft beer taps
Drone Aviation,relevant,tethered aerostats and drones
ROYBI,irrelevant,AI educational robot toy for kids
"Robin Autopilot, USA",relevant,robotic lawn mowing fleet RaaS
Robomatter,irrelevant,STEM/robotics education curriculum
Beluga Shave Co.,irrelevant,safety razors and shaving products
SiLC Technologies,irrelevant,FMCW lidar chips for robots/AVs
CleanRobotics,relevant,AI sorting recycling robot bins
Silent Falcon,relevant,small UAS for inspection and ISR
Discovery Robotics,irrelevant,autonomous floor cleaner; defunct
"Intuitive Technologies, LLC",unknown,no clear robotics business found
Cognitive Space,irrelevant,AI for satellite constellation ops
Triton Medical Robotics,relevant,GI endoscopy surgical robot
Ware,relevant,autonomous drones for warehouse inventory
BeeHex,irrelevant,3D food printing and bakery robots
Ava Robotics,relevant,autonomous telepresence robots
Advanced Robotics for Manufacturing Institute,irrelevant,DoD-funded robotics consortium
Verizon Robotics,irrelevant,AMR fleet software and connectivity
Segway Robotics,relevant,delivery and service robot platforms
Artly,relevant,AI robotic barista coffee company
"Greenfield Robotics - Healthy Food, Healthy Planet",relevant,autonomous weeding farm robots
ReconRobotics,relevant,throwable tactical micro-robots
Advanced Construction Robotics,relevant,rebar tying and placing construction robots
Securifi,irrelevant,consumer wifi router and smart home hub
Iris Automation,irrelevant,onboard detect-and-avoid for drones
Volley Automation,relevant,robotic automated parking systems
Infinite Roboitcs,relevant,industrial robot integration and automation
Eka Robotics,relevant,sim-to-real manipulation robotics AI
XpertDox,irrelevant,AI medical coding for healthcare RCM
Harvest Croo,relevant,autonomous strawberry harvesting robot
Snag-A-Slip,irrelevant,online boat slip booking marketplace
Verdant Robotics,relevant,precision ag spraying/weeding robots
"Universal Logic, Inc.",irrelevant,Neocortex AI robot control software
Trifo,relevant,AI home robot vacuums
Purple Rhombus,relevant,manufactures attritable UAS drones
PickNik Robotics,irrelevant,MoveIt Pro robotic arm software platform
Generation NEXT,irrelevant,robotic frozen yogurt vending; deadpooled
Grafton Sciences,relevant,physical AI research and engineering
Hydronalix,relevant,unmanned surface vessels for rescue/defense
SkySafe,irrelevant,drone detection and airspace forensics
ARIX Technologies,relevant,pipe-inspection crawler robots
Affluent,irrelevant,affiliate marketing analytics platform
Neya Systems LLC,irrelevant,off-road autonomy software for UGVs
Boost VC,irrelevant,venture capital firm (deep tech)
CNBS Software,irrelevant,SAP/ERP integration and ecommerce software
Dishcraft,irrelevant,robotic dishwashing system; mostly defunct
Wings,relevant,autonomous food-service retail robotics
Virtual Incision,relevant,miniaturized surgical robot MIRA
"Airspace Defense, Inc",irrelevant,counter-drone airspace security platform
Robo 3D,irrelevant,desktop 3D printer maker (acquired/defunct)
DisruptOPS,irrelevant,cloud security posture management SaaS
219 Design,irrelevant,engineering consultancy incl. surgical robotics
Phantom Neuro,irrelevant,neural interface for prosthetics and robotics
PreNav,relevant,precision drones for infrastructure inspection
RemedyOne,irrelevant,pharmacy formulary/rebate optimization
"DeepMap, Inc.",irrelevant,HD mapping for AVs (acquired by NVIDIA 2021)
DeepMotion,irrelevant,AI motion capture for 3D animation/games
Kane Robotics,relevant,cobot sanding/grinding/finishing systems
XYZ Robotics Inc.,relevant,warehouse picking/manipulation robots
Blendid,relevant,autonomous robotic smoothie kiosks
Yahara Software,irrelevant,custom software dev consultancy
drive.ai,irrelevant,defunct AV startup acquired by Apple 2019
"Magenta Technologies, LLC",irrelevant,industrial robot/automation repair services
K2 Kinetics,relevant,robotic packaging automation (acquired by JLS)
HowToRobot,irrelevant,robot buyer-supplier marketplace/advisory
Blue Belt Technologies,irrelevant,surgical robotics acquired by Smith+Nephew 2016
SALIX,irrelevant,RPA/data services for back-office automation
Treeswift,relevant,autonomous drone swarms for forestry
Wonder Workshop,irrelevant,Dash/Dot educational coding robots for kids
ReverseVision,irrelevant,reverse mortgage origination software
Odyssey Marine Exploration,irrelevant,deep-sea ROV-based subsea mineral exploration
greenbox,unknown,ambiguous name; no clear robotics match
Victor 12,irrelevant,veteran-owned EdTech/training services firm
iAffiliate Management,irrelevant,affiliate marketing agency for DTC brands
PerfTech,irrelevant,in-browser ISP messaging/network hardware
Diversified Robotic,irrelevant,RPA/Microsoft Azure consulting (software bots)
"Verve, Inc.",relevant,wearable exosuit robotics for industrial workers
Promobot Corp.,relevant,humanoid service robots for retail/hospitality
Dusty Robotics,relevant,autonomous BIM layout robot for construction
AirSelfie,irrelevant,consumer pocket selfie drone gadget
"ISR Division Systems, LLC",irrelevant,installed-sales/service network operator
ABAGY Robotic Systems,irrelevant,AI software for high-mix robotic welding
Altara,irrelevant,AI data platform for physical sciences R&D
NDS Systems,irrelevant,ERP software for manufacturing/distribution
Peerdash.com,irrelevant,secure enterprise collaboration SaaS
Building Point Southeast LLC,irrelevant,construction tech/BIM reseller (Trimble)
LabMinds Inc,relevant,lab automation robotics for solution prep
Square Robot,relevant,autonomous submersible tank-inspection robots
Wilder Systems Inc.,relevant,robotic automation for aircraft manufacturing
VideoRay,irrelevant,underwater ROV manufacturer
OhmniLabs,relevant,telepresence/healthcare robots (now Symbotic)
Galen Robotics,relevant,ENT surgical assistant robot
Abagy Robotics Systems,irrelevant,AI software for high-mix robotic welding
